lat,lon,psl
-88.1151832460733,182.5,-45.583447
-88.1151832460733,183.75,-45.470448
-88.1151832460733,185.0,-45.402817
-88.1151832460733,186.25,-45.3136
-88.1151832460733,187.5,-45.22034
-88.1151832460733,188.75,-45.11467
-88.1151832460733,190.0,-45.01761
-88.1151832460733,191.25,-44.92262
-88.1151832460733,192.5,-44.835785
-88.1151832460733,193.75,-44.755375
-88.1151832460733,195.0,-44.682194
-88.1151832460733,196.25,-44.61076
-88.1151832460733,197.5,-44.53084
-88.1151832460733,198.75,-44.447723
-88.1151832460733,200.0,-44.35251
-88.1151832460733,201.25,-44.203236
-88.1151832460733,202.5,-44.0613
-88.1151832460733,203.75,-44.00617
-88.1151832460733,205.0,-43.987427
-88.1151832460733,206.25,-43.978275
-88.1151832460733,207.5,-43.97414
-88.1151832460733,208.75,-43.96834
-88.1151832460733,210.0,-43.922283
-88.1151832460733,211.25,-43.86369
-88.1151832460733,212.5,-43.72703
-88.1151832460733,213.75,-43.71607
-88.1151832460733,215.0,-43.73521
-88.1151832460733,216.25,-43.771328
-88.1151832460733,217.5,-43.81847
-88.1151832460733,218.75,-43.87648
-88.1151832460733,220.0,-43.938614
-88.1151832460733,221.25,-44.007847
-88.1151832460733,222.5,-44.084026
-88.1151832460733,223.75,-44.167923
-88.1151832460733,225.0,-44.260395
-88.1151832460733,226.25,-44.368343
-88.1151832460733,227.5,-44.481876
-88.1151832460733,228.75,-44.589947
-88.1151832460733,230.0,-44.677235
-88.1151832460733,231.25,-44.748005
-88.1151832460733,232.5,-44.79985
-88.1151832460733,233.75,-44.858227
-88.1151832460733,235.0,-44.91882
-88.1151832460733,236.25,-44.973225
-88.1151832460733,237.5,-45.02641
-88.1151832460733,238.75,-45.06491
-88.1151832460733,240.0,-45.05727
-88.1151832460733,241.25,-44.999847
-88.1151832460733,242.5,-45.01627
-88.1151832460733,243.75,-45.039997
-88.1151832460733,245.0,-45.07155
-88.1151832460733,246.25,-45.10532
-88.1151832460733,247.5,-45.139587
-88.1151832460733,248.75,-45.16287
-88.1151832460733,250.0,-45.179058
-88.1151832460733,251.25,-45.19499
-88.1151832460733,252.5,-45.200104
-88.1151832460733,253.75,-45.1747
-88.1151832460733,255.0,-45.087524
-88.1151832460733,256.25,-45.05731
-88.1151832460733,257.5,-45.02843
-88.1151832460733,258.75,-45.00414
-88.1151832460733,260.0,-44.984028
-88.1151832460733,261.25,-44.984478
-88.1151832460733,262.5,-45.001812
-88.1151832460733,263.75,-45.026653
-88.1151832460733,265.0,-45.05834
-88.1151832460733,266.25,-45.093952
-88.1151832460733,267.5,-45.13049
-88.1151832460733,268.75,-45.163914
-88.1151832460733,270.0,-45.195465
-88.1151832460733,271.25,-45.227947
-88.1151832460733,272.5,-45.25024
