month,lat,psl
3,-6.125654450261777,100906.40120442743
3,-5.1832460732984345,100899.39428710921
3,-4.240837696335078,100894.76253255235
3,-3.298429319371735,100892.58474392297
3,-2.356020942408378,100889.34817165768
3,-1.4136125654450211,100888.88042534776
3,-0.47120418848167844,100889.36002604134
3,0.47120418848167844,100888.79367404473
3,1.4136125654450211,100888.32622612902
3,2.356020942408378,100888.43731011265
3,3.2984293193717207,100891.46164279463
3,4.240837696335078,100898.81906467045
3,5.1832460732984345,100908.75018988698
3,6.125654450261777,100921.55645073809
3,7.068062827225134,100938.06051974824
3,8.010471204188477,100956.69550238676
3,8.952879581151834,100979.36775716109
3,9.895287958115176,101006.55197482658
3,10.837696335078533,101035.79305013017
3,11.78010471204189,101067.71804470495
3,12.722513089005233,101103.42247178774
3,13.66492146596859,101144.32202148494
3,14.607329842931932,101191.04934353268
3,15.54973821989529,101235.21207682321
3,16.492146596858632,101278.24557834177
3,17.43455497382199,101320.16273328972
3,18.376963350785346,101361.97664387964
3,19.31937172774869,101403.32332356788
3,20.261780104712045,101442.98952908038
3,21.204188481675388,101478.69308810729
3,22.146596858638745,101516.55319552927
3,23.089005235602087,101551.2855360246
3,24.031413612565444,101581.13045247362
3,24.9738219895288,101606.12413194422
3,25.916230366492144,101630.16720920139
3,26.8586387434555,101661.2804090718
3,27.801047120418843,101699.11895073795
3,28.7434554973822,101740.51700846314
3,29.685863874345543,101764.18739149252
3,30.6282722513089,101781.63926866247
3,31.570680628272257,101789.79353841118
3,32.5130890052356,101806.83403862905
3,33.455497382198956,101827.06412760397
3,34.3979057591623,101826.85880533929
3,35.340314136125656,101804.90508355085
3,36.282722513089,101761.05872938335
3,37.225130890052355,101726.85492621466
3,38.16753926701571,101715.74921332477
3,39.10994764397907,101710.03301323723
3,40.0523560209424,101709.14463975665
3,40.994764397905755,101711.77617730098
3,41.93717277486911,101708.87901475666
3,42.87958115183247,101695.22105577258
3,43.8219895287958,101686.2704806852
3,44.764397905759154,101685.01250542495
3,45.70680628272251,101690.31537543466
3,46.64921465968587,101696.40858289979
3,47.591623036649224,101702.2363009979
3,48.53403141361255,101702.29983181451
3,49.47643979057591,101695.97856987795
3,50.41884816753927,101688.28301323771
3,51.36125654450262,101687.34396701342
3,52.30366492146598,101686.89898003521
3,53.24607329842931,101688.29937066004
3,54.188481675392666,101691.85972764736
3,55.13089005235602,101694.11222330715
3,56.07329842931938,101699.6101888022
3,57.01570680628271,101700.29120551219
3,57.958115183246065,101697.14455837713
3,58.90052356020942,101691.1965603299
3,59.84293193717278,101688.99457465208
3,60.785340314136135,101690.84261067731
3,61.727748691099464,101692.47542317715
3,62.67015706806282,101687.20627170108
3,63.61256544502618,101683.37440321135
3,64.55497382198953,101682.56816948725
3,65.49738219895289,101682.91012912367
3,66.43979057591622,101686.36631944464
3,67.38219895287958,101684.54570855002
3,68.32460732984293,101676.50938585047
3,69.26701570680629,101659.72553168397
3,70.20942408376962,101633.0500488287
3,71.15183246073298,101603.08580186637
3,72.09424083769633,101571.83121744737
3,73.03664921465969,101533.02015516462
3,73.97905759162305,101489.64480251685
3,74.92146596858638,101440.60739474786
3,75.86387434554973,101387.15304904558
3,76.80628272251309,101322.51730685803
3,77.74869109947645,101246.11368815052
3,78.6910994764398,101164.30536566915
3,79.63350785340313,101084.75442165865
3,80.57591623036649,100996.6775173615
3,81.51832460732984,100905.16826714367
3,82.4607329842932,100793.8577202691
3,83.40314136125653,100675.55620659658
3,84.34554973821989,100553.05192057302
3,85.28795811518324,100420.24552408814
3,86.2303664921466,100307.38663736978
3,87.17277486910996,100218.9342447917
3,88.11518324607329,100151.0550672747
3,89.05759162303664,100112.76440429661
3,90.0,100097.76562500032
4,-90.0,101036.09781901079
4,-89.05759162303664,100944.15863715248
4,-88.1151832460733,100766.92759874208
4,-87.17277486910994,100598.68177625904
4,-86.2303664921466,100431.12749565975
4,-85.28795811518324,100276.60386827223
4,-84.3455497382199,100123.69951714417
4,-83.40314136125654,99976.6452636726
4,-82.46073298429319,99840.4156901043
4,-81.51832460732984,99734.61089409684
4,-80.57591623036649,99689.16061740494
4,-79.63350785340315,99675.8330891932
4,-78.69109947643979,99669.08577473981
4,-77.74869109947645,99628.23771158811
4,-76.80628272251309,99555.71904839447
4,-75.86387434554973,99457.83862304721
4,-74.92146596858639,99341.00675455765
4,-73.97905759162303,99234.7803005637
4,-73.03664921465969,99123.92504882782
4,-72.09424083769633,99017.54777018157
4,-71.15183246073298,98897.45936414936
